Sl NO TIMESTAMP                   PROTOCOL        MESSAGE                              DETAILS                                                                                                                                                             
74    2019-08-15 18:34:16.528999  -               -                                    	EMM Cause: Not Present                                                                                                                                             
75    2019-08-15 18:34:16.529997  -               -                                    	Additional update type: Present                                                                                                                                    
76    2019-08-15 18:34:16.529997  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Message: ACTIVATE DEFAULT EPS BEARER CONTEXT REQUEST                                                                                    
77    2019-08-15 18:34:16.530995  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Info: Network simulator sends the Activate Default EPS Bearer Context Request message with following information elements:              
78    2019-08-15 18:34:16.530995  -               -                                    	APN-AMBR: Present                                                                                                                                                  
79    2019-08-15 18:34:16.531992  -               -                                    	EPS bearer Identity: Present: '5'H                                                                                                                                 
80    2019-08-15 18:34:16.531992  -               -                                    	PDN Address: Present                                                                                                                                               
81    2019-08-15 18:34:16.532990  -               -                                    	Access Point Name: Present: VZWINTERNET                                                                                                                            
82    2019-08-15 18:34:16.532990  -               -                                    	P_CSCF: Present                                                                                                                                                    
83    2019-08-15 18:34:16.533987  -               -                                    	DNS_IPV6: Present                                                                                                                                                  
84    2019-08-15 18:34:16.534984  -               -                                    	IPV4 MTU SIZE: Present                                                                                                                                             
85    2019-08-15 18:34:16.534984  -               -                                    	Operator Specific PCO : Present                                                                                                                                    
86    2019-08-15 18:34:16.597817  [RRC]DL-DCCH    rrcConnectionReconfiguration         DL-DCCH,-                                                                                                                                                           
87    2019-08-15 18:34:16.641699  [RRC]UL-DCCH    rrcConnectionReconfigurationComplete UL-DCCH,-                                                                                                                                                           
88    2019-08-15 18:34:16.642698  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Check: Does the UE transmit the ATTACH COMPLETE and ACTIVATE DEFAULT EPS BEARER CONTEXT ACCEPT messages?                                
89    2019-08-15 18:34:16.643694  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Message: Uplink Direct Transfer                                                                                                         
90    2019-08-15 18:34:16.682591  [RRC]UL-DCCH    ulInformationTransfer                UL-DCCH,-                                                                                                                                                           
91    2019-08-15 18:34:16.705530  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Expected NAS EPS MM Message Type: Attach Complete                                                                                       
